iter	Passed	Remaining
824	2138	453
825	2140	450
826	2143	448
827	2145	445
828	2148	443
829	2150	440
830	2153	437
831	2155	435
832	2157	432
833	2160	430
834	2162	427
835	2165	424
836	2167	422
837	2170	419
838	2172	416
839	2175	414
840	2177	411
841	2179	409
842	2182	406
843	2184	403
844	2187	401
845	2189	398
846	2192	395
847	2195	393
848	2198	390
849	2201	388
850	2203	385
851	2205	383
852	2208	380
853	2211	378
854	2213	375
855	2215	372
856	2218	370
857	2220	367
858	2223	364
859	2225	362
860	2228	359
861	2230	357
862	2232	354
863	2235	351
864	2237	349
865	2240	346
866	2243	344
867	2245	341
868	2248	338
869	2250	336
870	2253	333
871	2255	331
872	2258	328
873	2260	325
874	2262	323
875	2265	320
876	2267	318
877	2270	315
878	2273	312
879	2275	310
880	2278	307
881	2280	305
882	2283	302
883	2285	299
884	2287	297
885	2290	294
886	2292	292
887	2295	289
888	2297	286
889	2300	284
890	2302	281
891	2305	279
892	2307	276
893	2309	273
894	2312	271
895	2314	268
896	2317	266
897	2320	263
898	2322	260
899	2324	258
900	2327	255
901	2329	253
902	2332	250
903	2334	247
904	2337	245
905	2339	242
906	2341	240
907	2344	237
908	2346	234
909	2349	232
910	2351	229
911	2354	227
912	2356	224
913	2358	221
914	2361	219
915	2363	216
916	2366	214
917	2369	211
918	2371	209
919	2373	206
920	2376	203
921	2379	201
922	2382	198
923	2385	196
924	2387	193
925	2389	190
926	2392	188
927	2395	185
928	2397	183
929	2400	180
930	2402	178
931	2405	175
932	2408	172
933	2410	170
934	2413	167
935	2415	165
936	2418	162
937	2420	160
938	2423	157
939	2425	154
940	2428	152
941	2430	149
942	2433	147
943	2435	144
944	2438	141
945	2440	139
946	2443	136
947	2445	134
948	2447	131
949	2450	128
950	2452	126
951	2455	123
952	2457	121
953	2460	118
954	2462	116
955	2464	113
956	2467	110
957	2469	108
958	2472	105
959	2474	103
960	2477	100
961	2479	97
962	2482	95
963	2484	92
964	2486	90
965	2489	87
966	2491	85
967	2494	82
